scenario_id,A0_state,A1_state,A2_state,A3_state,A4_state,A5_state,A6_state,A7_state,A8_state,A9_state,A10_state,modality_class,endpoint_data_type,analyte_role,terminal_state,q_code,family_id,family_assigned_at
fe42cca9d406,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,,,QUARANTINE,Q11,F22,2026-05-22T08:18:32+00:00
d833d9fc630c,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,,,QUARANTINE,Q11,F22,2026-05-22T08:18:32+00:00
22f077d63d04,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL-FLAG-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,,,QUARANTINE,Q11,F01,2026-05-22T08:18:32+00:00
766acaf9e833,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL-FLAG-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,,,QUARANTINE,Q11,F01,2026-05-22T08:18:32+00:00
6ae3805352da,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL-FLAG-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,,,QUARANTINE,Q11,F01,2026-05-22T08:18:32+00:00
e27392976e1c,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL-FLAG-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,,,QUARANTINE,Q11,F01,2026-05-22T08:18:32+00:00
2ffd9a5d13eb,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL-FLAG-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,,,QUARANTINE,Q11,F22,2026-05-22T08:18:32+00:00
8a2fecba82ff,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL-FLAG-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,,,QUARANTINE,Q11,F22,2026-05-22T08:18:32+00:00
83e74c1157e4,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,,,QUARANTINE,Q11,F01,2026-05-22T08:18:32+00:00
f87bcf2b9e36,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,,,QUARANTINE,Q11,F01,2026-05-22T08:18:32+00:00
0bc6f9e56a26,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,,,QUARANTINE,Q11,F01,2026-05-22T08:18:32+00:00
a5d3cd439564,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,,,QUARANTINE,Q11,F01,2026-05-22T08:18:32+00:00
b4aa758718cd,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,,,QUARANTINE,Q11,F22,2026-05-22T08:18:32+00:00
0264551b71d3,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,,,QUARANTINE,Q11,F22,2026-05-22T08:18:32+00:00
c849e4accea4,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,,,QUARANTINE,Q11,F01,2026-05-22T08:18:32+00:00
cfc4e88436a2,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,,,QUARANTINE,Q11,F01,2026-05-22T08:18:32+00:00
bcc115610bb1,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,,,QUARANTINE,Q11,F01,2026-05-22T08:18:32+00:00
39d90849e921,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,,,QUARANTINE,Q11,F01,2026-05-22T08:18:32+00:00
e639de67091b,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,,,QUARANTINE,Q11,F22,2026-05-22T08:18:32+00:00
3886d53e6588,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,,,QUARANTINE,Q11,F22,2026-05-22T08:18:32+00:00
43a221795ed7,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL-FLAG-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,,,QUARANTINE,Q11,F01,2026-05-22T08:18:32+00:00
8ce2c983f951,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL-FLAG-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,,,QUARANTINE,Q11,F01,2026-05-22T08:18:32+00:00
e4f8c458f608,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL-FLAG-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,,,QUARANTINE,Q11,F01,2026-05-22T08:18:32+00:00
590ecff4245a,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL-FLAG-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,,,QUARANTINE,Q11,F01,2026-05-22T08:18:32+00:00
d011540818b7,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL-FLAG-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,,,QUARANTINE,Q11,F22,2026-05-22T08:18:32+00:00
b65a9886c1ea,AIC-MISSING,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL-FLAG-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,,,QUARANTINE,Q11,F22,2026-05-22T08:18:32+00:00
bb2a17458d7a,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,PK_CONCENTRATION,,AUTO,,F01,2026-05-22T08:18:32+00:00
bee7cef125e1,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,PK_CONCENTRATION,,QUARANTINE,Q15B,F01,2026-05-22T08:18:32+00:00
bc91c1abfde9,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,PK_CONCENTRATION,,REPAIR,,F01,2026-05-22T08:18:32+00:00
849dd399567c,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,PK_CONCENTRATION,,QUARANTINE,Q15B,F01,2026-05-22T08:18:32+00:00
59b7f30e4b38,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,PK_CONCENTRATION,,REPAIR,,F22,2026-05-22T08:18:32+00:00
77906d408727,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,PK_CONCENTRATION,,QUARANTINE,Q15B,F22,2026-05-22T08:18:32+00:00
671c80fd79c0,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,PK_CONCENTRATION,,REPAIR,,F01,2026-05-22T08:18:32+00:00
57660a5ea561,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,PK_CONCENTRATION,,QUARANTINE,Q15B,F01,2026-05-22T08:18:32+00:00
6e9d796bdca2,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,PK_CONCENTRATION,,REPAIR,,F01,2026-05-22T08:18:32+00:00
3508d78a79ea,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,PK_CONCENTRATION,,QUARANTINE,Q15B,F01,2026-05-22T08:18:32+00:00
ae3d73db2343,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,PK_CONCENTRATION,,REPAIR,,F22,2026-05-22T08:18:32+00:00
cbc2e6d371b5,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,PK_CONCENTRATION,,QUARANTINE,Q15B,F22,2026-05-22T08:18:32+00:00
799da22dcf97,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL-FLAG-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,PK_CONCENTRATION,,QUARANTINE,Q15A,F01,2026-05-22T08:18:32+00:00
63e5c983f406,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL-FLAG-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,PK_CONCENTRATION,,QUARANTINE,Q15A,F01,2026-05-22T08:18:32+00:00
6d086613089c,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL-FLAG-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,PK_CONCENTRATION,,QUARANTINE,Q15A,F01,2026-05-22T08:18:32+00:00
e557836357a5,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL-FLAG-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,PK_CONCENTRATION,,QUARANTINE,Q15A,F01,2026-05-22T08:18:32+00:00
38dfd4d45b6a,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL-FLAG-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,PK_CONCENTRATION,,QUARANTINE,Q15A,F22,2026-05-22T08:18:32+00:00
d04134f58537,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL-FLAG-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,PK_CONCENTRATION,,QUARANTINE,Q15A,F22,2026-05-22T08:18:32+00:00
a712b1d475dc,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,PK_CONCENTRATION,,AUTO,,F01,2026-05-22T08:18:32+00:00
926fe46ead8e,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,PK_CONCENTRATION,,QUARANTINE,Q15B,F01,2026-05-22T08:18:32+00:00
b721a9a70e90,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,PK_CONCENTRATION,,REPAIR,,F01,2026-05-22T08:18:32+00:00
e0a8289a708f,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,PK_CONCENTRATION,,QUARANTINE,Q15B,F01,2026-05-22T08:18:32+00:00
d12d748bac05,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,PK_CONCENTRATION,,REPAIR,,F22,2026-05-22T08:18:32+00:00
87411386868a,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,PK_CONCENTRATION,,QUARANTINE,Q15B,F22,2026-05-22T08:18:32+00:00
d2e07d23c8f1,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,PK_CONCENTRATION,,REPAIR,,F01,2026-05-22T08:18:32+00:00
e389e8860955,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,PK_CONCENTRATION,,QUARANTINE,Q15B,F01,2026-05-22T08:18:32+00:00
958017db5661,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,PK_CONCENTRATION,,REPAIR,,F01,2026-05-22T08:18:32+00:00
dc3a511d4a72,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,SMALL_MOLECULE,PK_CONCENTRATION,,QUARANTINE,Q15B,F01,2026-05-22T08:18:32+00:00
