# h4 sample (seed=42, blinded=False)
sample_id,scenario_id,family_id,terminal_state,q_code,A0_state,A1_state,A2_state,A3_state,A4_state,A5_state,A6_state,A7_state,A8_state,A9_state,A10_state,modality_class,endpoint_data_type,analyte_role,action_label,action_sequence,parameter_policy,sample_type
S11,615db1a24cb9,F29,REPAIR,,AIC-LACTATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,MILK_PK,,REPAIR_F29_BLQ_MILK_DDIVP,parse_source -> canonicalize_blq -> assign_milk_matrix_lloq -> assign_cmt_ddi_victim_perpetrator -> assign_evid -> sort_records -> export_nonmem_ready,"{""blq_handling_policy"": ""M3"", ""cmt_analyte_policy"": ""ddi_dual_cmt"", ""dual_cmt_policy"": ""victim_low_perp_high"", ""milk_matrix_lloq_policy"": ""matrix_specific_lloq""}",REPAIR_RANDOM
S12,b08b62745655,F22,REPAIR,,AIC-PKPD,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,REANALYSIS-NONE,STRUCTURED,ADC,PK_CONCENTRATION,TOTAL_ANTIBODY|CONJUGATED_ADC|UNCONJUGATED_PAYLOAD,REPAIR_F22_BLQ_DDIVP,parse_source -> canonicalize_blq -> assign_cmt_ddi_victim_perpetrator -> assign_evid -> sort_records -> export_nonmem_ready,"{""blq_handling_policy"": ""M3"", ""cmt_analyte_policy"": ""ddi_dual_cmt"", ""dual_cmt_policy"": ""victim_low_perp_high""}",REPAIR_RANDOM
S13,8ccd929f44bc,F25,REPAIR,,AIC-PRECLINICAL,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,STRUCTURED,BISPECIFIC,PK_CONCENTRATION,PARENT|SOLUBLE_TARGET|DRUG_TARGET_COMPLEX,REPAIR_F25_CMTROLE,parse_source -> assign_cmt_with_analyte_role -> assign_evid -> sort_records -> export_nonmem_ready,"{""analyte_role_declaration"": ""PARENT|SOLUBLE_TARGET|DRUG_TARGET_COMPLEX"", ""cmt_analyte_policy"": ""multi_analyte_role_tagged""}",REPAIR_RANDOM
S14,964ede8f14fd,F01,REPAIR,,AIC-BIOMARKER,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,MAB,CONTINUOUS_PD,,REPAIR_F01_BLQ,parse_source -> canonicalize_blq -> assign_cmt_single -> assign_evid -> sort_records -> export_nonmem_ready,"{""blq_handling_policy"": ""M3""}",REPAIR_RANDOM
S15,e6688edd690f,F01,REPAIR,,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,BISPECIFIC,PK_CONCENTRATION,,REPAIR_F01_BLQ,parse_source -> canonicalize_blq -> assign_cmt_single -> assign_evid -> sort_records -> export_nonmem_ready,"{""blq_handling_policy"": ""M3""}",REPAIR_RANDOM
S16,bc3e954ba385,F25,REPAIR,,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,STRUCTURED,BISPECIFIC,PK_CONCENTRATION,PARENT|SOLUBLE_TARGET|DRUG_TARGET_COMPLEX,REPAIR_F25_CMTROLE,parse_source -> assign_cmt_with_analyte_role -> assign_evid -> sort_records -> export_nonmem_ready,"{""analyte_role_declaration"": ""PARENT|SOLUBLE_TARGET|DRUG_TARGET_COMPLEX"", ""cmt_analyte_policy"": ""multi_analyte_role_tagged""}",REPAIR_RANDOM
S17,155d8d2cdd9b,F25,REPAIR,,AIC-PKPD,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,STRUCTURED,BISPECIFIC,PK_CONCENTRATION,PARENT|SOLUBLE_TARGET|DRUG_TARGET_COMPLEX,REPAIR_F25_CMTROLE,parse_source -> assign_cmt_with_analyte_role -> assign_evid -> sort_records -> export_nonmem_ready,"{""analyte_role_declaration"": ""PARENT|SOLUBLE_TARGET|DRUG_TARGET_COMPLEX"", ""cmt_analyte_policy"": ""multi_analyte_role_tagged""}",REPAIR_RANDOM
S18,7284b80e632f,F01,REPAIR,,AIC-ER,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,STRUCTURED,CELL_THERAPY,EXPOSURE_METRIC,VECTOR_COPY|CAR_POSITIVE_CELL,REPAIR_F01_BLQ_CMTROLE,parse_source -> canonicalize_blq -> assign_cmt_with_analyte_role -> assign_evid -> sort_records -> export_nonmem_ready,"{""analyte_role_declaration"": ""VECTOR_COPY|CAR_POSITIVE_CELL"", ""blq_handling_policy"": ""M3"", ""cmt_analyte_policy"": ""multi_analyte_role_tagged""}",REPAIR_RANDOM
S19,1118e2d0920e,F27,REPAIR,,AIC-ER,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,STRUCTURED,MRNA,EXPOSURE_METRIC,,REPAIR_F27_BLQ_CMTM,parse_source -> canonicalize_blq -> assign_cmt_multi -> assign_evid -> sort_records -> export_nonmem_ready,"{""blq_handling_policy"": ""M3"", ""cmt_analyte_policy"": ""multi_with_rules""}",REPAIR_RANDOM
S20,9493664a6997,F27,REPAIR,,AIC-IMMUNOGEN,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,STRUCTURED,MRNA,IMMUNOGENICITY,,REPAIR_F27_BLQ_CMTM,parse_source -> canonicalize_blq -> assign_cmt_multi -> assign_evid -> sort_records -> export_nonmem_ready,"{""blq_handling_policy"": ""M3"", ""cmt_analyte_policy"": ""multi_with_rules""}",REPAIR_RANDOM
S21,421ecbd52bad,F24,QUARANTINE,Q15A,AIC-TTE,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL-FLAG-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,ADC,CATEGORICAL_PD,TOTAL_ANTIBODY|CONJUGATED_ADC|UNCONJUGATED_PAYLOAD,QUARANTINE_BIO_FINAL_FLAG_Q15A,parse_source -> flag_quarantine,"{""q_code"": ""Q15A""}",V42_F24
S22,159c1dfc38ee,F25,QUARANTINE,Q15B,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,BISPECIFIC,PK_CONCENTRATION,PARENT|SOLUBLE_TARGET|DRUG_TARGET_COMPLEX,QUARANTINE_LEGACY_FLAG_UNDOC_Q15B,parse_source -> flag_quarantine,"{""q_code"": ""Q15B""}",V42_F25
S23,dbc4d97ea8a1,F26,QUARANTINE,Q15B,AIC-CELL_THERAPY,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,CELLULAR-BLQ-DEFINED,COVARIATE-BASELINE-ONLY,PRODUCT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,CELL_THERAPY,CELLULAR_KINETICS,,QUARANTINE_ADDL_CONFLICT_Q15B,parse_source -> flag_quarantine,"{""q_code"": ""Q15B""}",V42_F26
S24,b75f5e3e1e3a,F27,QUARANTINE,Q15B,AIC-PKPD,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,REANALYSIS-NONE,SEMI-STRUCTURED-LEGACY-FLAG,MRNA,CONTINUOUS_PD,,QUARANTINE_ADDL_CONFLICT_Q15B,parse_source -> flag_quarantine,"{""q_code"": ""Q15B""}",V42_F27
S25,c72ab3627aaa,F28,REPAIR,,AIC-PKPD,ID-DEFINED,TIME-ELAPSED-RESOLVABLE,DOSE-DEFINED,LOADING-MAINTENANCE,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,MAB,PK_CONCENTRATION,,REPAIR_F28_TPP_DLM_BLQ,parse_source -> derive_time_postpartum_anchor -> reconstruct_loading_maintenance -> canonicalize_blq -> assign_cmt_single -> assign_evid -> sort_records -> export_nonmem_ready,"{""blq_handling_policy"": ""M3"", ""delivery_anchor_policy"": ""delivery_date"", ""dose_reconstruction_policy"": ""loading_maintenance""}",V42_F28
S26,726eebc95801,F29,REPAIR,,AIC-LACTATION,ID-DYAD-LINKABLE,TIME-ELAPSED-RESOLVABLE,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,REANALYSIS-NONE,STRUCTURED,MAB,MATERNAL_INFANT_PK,,REPAIR_F29_DYAD_TPP_CMTM,parse_source -> attach_dyad_linkage -> derive_time_postpartum_anchor -> assign_cmt_multi -> assign_evid -> sort_records -> export_nonmem_ready,"{""cmt_analyte_policy"": ""multi_with_rules"", ""delivery_anchor_policy"": ""delivery_date"", ""dyad_linkage_policy"": ""mother_id_on_infant_row""}",V42_F29
