project_id,family_candidate,source_format,source_parser_subtype,study_design,aic_summary,modality_class,endpoint_data_type,A0_state,A1_state,A2_state,A3_state,A4_state,A5_state,A6_state,A7_state,A8_state,A9_state,A10_state,analyte_role,input_tables,key_columns,time_columns,dose_columns,observation_columns,covariate_columns,known_policies,missing_policies,manual_steps_required,expected_terminal_state,expected_q_code,expected_action_sequence,golden_dataset_available,raw_input_path,reference_output_path,seed_category_id,v4_2_relevant_axes,fingerprint_confidence,unknown_field_count,notes
PROJ_MRNA_017,F27,,,,,MRNA,IMMUNOGENICITY,,,,,,,,,,,,ADA,,,,,,,"['positivity_adjudication_rule=screening_plus_confirmation', 'dose_reconstruction_policy=loading_maintenance']",[],,REPAIR,N/A,parse->adjudicate_immunogenicity_positivity->reconstruct_loading_maintenance->export,,data/raw_examples/F27/PROJ_MRNA_017/raw_files/dataset_deidentified.csv,,17,,HIGH,0,
PROJ_PED_006,F12,,,,,SMALL_MOLECULE,PK_CONCENTRATION,,,,,,,,,,,,N/A,,,,,,,['dose_reconstruction_policy=weight_based'],[],,REPAIR,N/A,parse->reconstruct_dose_weight->export,,data/raw_examples/F12/PROJ_PED_006/raw_files/dataset_deidentified.csv,,6,,HIGH,0,
PROJ_POOL_002,F02,,,,,MAB,PK_CONCENTRATION,,,,,,,,,,,,N/A,,,,,,,['id_disambiguation_policy=site_prefix'],[],,REPAIR,N/A,parse->map_subject_id->assign->export,,data/raw_examples/F02/PROJ_POOL_002/raw_files/dataset_deidentified.csv,,2,,HIGH,0,
PROJ_PRECLIN_008,F19,,,,,SMALL_MOLECULE,PK_CONCENTRATION,,,,,,,,,,,,N/A,,,,,,,[],[],,AUTO,N/A,parse->assign->export,,data/raw_examples/F19/PROJ_PRECLIN_008/raw_files/dataset_deidentified.csv,,8,,HIGH,0,
PROJ_PREG_019,F28,,,,,MAB,PK_CONCENTRATION,,,,,,,,,,,,N/A,,,,,,,"['delivery_anchor_policy=delivery_date', 'elapsed_anchor_policy=delivery_date']",[],,REPAIR,N/A,parse->derive_time_postpartum_anchor->export,,data/raw_examples/F28/PROJ_PREG_019/raw_files/dataset_deidentified.csv,,19,,HIGH,0,
PROJ_REAN_013,F01,,,,,SMALL_MOLECULE,PK_CONCENTRATION,,,,,,,,,,,,N/A,,,,,,,['reanalysis_final_selection_policy=reanalysis_priority'],[],,REPAIR,N/A,parse->resolve_reanalysis_final->export,,data/raw_examples/F01/PROJ_REAN_013/raw_files/dataset_deidentified.csv,,13,,HIGH,0,
PROJ_S01_001,F01,,,,,MAB,PK_CONCENTRATION,,,,,,,,,,,,N/A,,,,,,,['time_policy=actual'],[],,AUTO,N/A,parse->assign->export,,data/raw_examples/F01/PROJ_S01_001/raw_files/dataset_deidentified.csv,,1,,HIGH,0,
PROJ_SAD_003,F07,,,,,SMALL_MOLECULE,PK_CONCENTRATION,,,,,,,,,,,,N/A,,,,,,,['dose_reconstruction_policy=addl_ii'],[],,REPAIR,N/A,parse->expand_addl_ii->assign->export,,data/raw_examples/F07/PROJ_SAD_003/raw_files/dataset_deidentified.csv,,3,,HIGH,0,
PROJ_TDM_007,F20,,,,,SMALL_MOLECULE,PK_CONCENTRATION,,,,,,,,,,,,N/A,,,,,,,['adherence_imputation_policy=pharmacy_dispensing_full_adherence'],[],,REPAIR,N/A,parse->derive_time_actual->export,,data/raw_examples/F20/PROJ_TDM_007/raw_files/dataset_deidentified.csv,,7,,HIGH,0,
PROJ_TITR_009,F07,,,,,SMALL_MOLECULE,PK_CONCENTRATION,,,,,,,,,,,,N/A,,,,,,,['dose_adaptation_policy=project_specific'],[],,REPAIR,N/A,parse->reconstruct_dose_titration->export,,data/raw_examples/F07/PROJ_TITR_009/raw_files/dataset_deidentified.csv,,9,,HIGH,0,
