scenario_id,family_id,terminal_state,q_code,action_label,action_sequence_hash,parameter_policy_hash,required_policy_set,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29
fe42cca9d406,F22,QUARANTINE,Q11,QUARANTINE_AIC_MISSING_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N
d833d9fc630c,F22,QUARANTINE,Q11,QUARANTINE_LEGACY_FLAG_UNDOC_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N
22f077d63d04,F01,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
766acaf9e833,F01,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N
6ae3805352da,F01,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N
e27392976e1c,F01,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N
2ffd9a5d13eb,F22,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N
8a2fecba82ff,F22,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N
83e74c1157e4,F01,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
f87bcf2b9e36,F01,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
0bc6f9e56a26,F01,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N
a5d3cd439564,F01,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N
b4aa758718cd,F22,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N
0264551b71d3,F22,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
c849e4accea4,F01,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
cfc4e88436a2,F01,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
bcc115610bb1,F01,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N
39d90849e921,F01,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N
e639de67091b,F22,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N
3886d53e6588,F22,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
43a221795ed7,F01,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N
8ce2c983f951,F01,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N
e4f8c458f608,F01,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N
590ecff4245a,F01,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N
d011540818b7,F22,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,N,N,N,N
b65a9886c1ea,F22,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N
bb2a17458d7a,F01,AUTO,,AUTO_F01_SMALL_MOLECULE,375dc3d886a9,44136fa355b3,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
bee7cef125e1,F01,QUARANTINE,Q15B,QUARANTINE_LEGACY_FLAG_UNDOC_Q15B,459af0d7d91c,fc80a095c5ee,q_code,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
bc91c1abfde9,F01,REPAIR,,REPAIR_F01_CMTM,625092f45d69,3d9b119a827c,cmt_analyte_policy,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N
849dd399567c,F01,QUARANTINE,Q15B,QUARANTINE_LEGACY_FLAG_UNDOC_Q15B,459af0d7d91c,fc80a095c5ee,q_code,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N
59b7f30e4b38,F22,REPAIR,,REPAIR_F22_DDIVP,9778a409567c,3b6e37a453cb,"cmt_analyte_policy,dual_cmt_policy",Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N
77906d408727,F22,QUARANTINE,Q15B,QUARANTINE_LEGACY_FLAG_UNDOC_Q15B,459af0d7d91c,fc80a095c5ee,q_code,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N
671c80fd79c0,F01,REPAIR,,REPAIR_F01_BLQ,f67c49c740b6,5598114a142c,blq_handling_policy,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
57660a5ea561,F01,QUARANTINE,Q15B,QUARANTINE_LEGACY_FLAG_UNDOC_Q15B,459af0d7d91c,fc80a095c5ee,q_code,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
6e9d796bdca2,F01,REPAIR,,REPAIR_F01_BLQ_CMTM,ad950bea7a00,b0d8a8150750,"blq_handling_policy,cmt_analyte_policy",Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N
3508d78a79ea,F01,QUARANTINE,Q15B,QUARANTINE_LEGACY_FLAG_UNDOC_Q15B,459af0d7d91c,fc80a095c5ee,q_code,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N
ae3d73db2343,F22,REPAIR,,REPAIR_F22_BLQ_DDIVP,f452000cd78c,1a93afeda678,"blq_handling_policy,cmt_analyte_policy,dual_cmt_policy",Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N
cbc2e6d371b5,F22,QUARANTINE,Q15B,QUARANTINE_LEGACY_FLAG_UNDOC_Q15B,459af0d7d91c,fc80a095c5ee,q_code,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N
799da22dcf97,F01,QUARANTINE,Q15A,QUARANTINE_BIO_FINAL_FLAG_Q15A,459af0d7d91c,0ff39de5a52e,q_code,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
63e5c983f406,F01,QUARANTINE,Q15A,QUARANTINE_BIO_FINAL_FLAG_Q15A,459af0d7d91c,0ff39de5a52e,q_code,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N
6d086613089c,F01,QUARANTINE,Q15A,QUARANTINE_BIO_FINAL_FLAG_Q15A,459af0d7d91c,0ff39de5a52e,q_code,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N
e557836357a5,F01,QUARANTINE,Q15A,QUARANTINE_BIO_FINAL_FLAG_Q15A,459af0d7d91c,0ff39de5a52e,q_code,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N
38dfd4d45b6a,F22,QUARANTINE,Q15A,QUARANTINE_BIO_FINAL_FLAG_Q15A,459af0d7d91c,0ff39de5a52e,q_code,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N
d04134f58537,F22,QUARANTINE,Q15A,QUARANTINE_BIO_FINAL_FLAG_Q15A,459af0d7d91c,0ff39de5a52e,q_code,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N
a712b1d475dc,F01,AUTO,,AUTO_F01_SMALL_MOLECULE,375dc3d886a9,44136fa355b3,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
926fe46ead8e,F01,QUARANTINE,Q15B,QUARANTINE_ADDL_CONFLICT_Q15B,459af0d7d91c,fc80a095c5ee,q_code,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
b721a9a70e90,F01,REPAIR,,REPAIR_F01_CMTM,625092f45d69,3d9b119a827c,cmt_analyte_policy,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N
e0a8289a708f,F01,QUARANTINE,Q15B,QUARANTINE_ADDL_CONFLICT_Q15B,459af0d7d91c,fc80a095c5ee,q_code,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N
d12d748bac05,F22,REPAIR,,REPAIR_F22_DDIVP,9778a409567c,3b6e37a453cb,"cmt_analyte_policy,dual_cmt_policy",Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,Y,N,N,N,N,N
87411386868a,F22,QUARANTINE,Q15B,QUARANTINE_ADDL_CONFLICT_Q15B,459af0d7d91c,fc80a095c5ee,q_code,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
d2e07d23c8f1,F01,REPAIR,,REPAIR_F01_BLQ,f67c49c740b6,5598114a142c,blq_handling_policy,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
e389e8860955,F01,QUARANTINE,Q15B,QUARANTINE_ADDL_CONFLICT_Q15B,459af0d7d91c,fc80a095c5ee,q_code,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
958017db5661,F01,REPAIR,,REPAIR_F01_BLQ_CMTM,ad950bea7a00,b0d8a8150750,"blq_handling_policy,cmt_analyte_policy",Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N
dc3a511d4a72,F01,QUARANTINE,Q15B,QUARANTINE_ADDL_CONFLICT_Q15B,459af0d7d91c,fc80a095c5ee,q_code,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N
5643e512159f,F22,REPAIR,,REPAIR_F22_BLQ_DDIVP,f452000cd78c,1a93afeda678,"blq_handling_policy,cmt_analyte_policy,dual_cmt_policy",Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,Y,N,Y,N,N,N,N,N
4f4e1e23d965,F22,QUARANTINE,Q15B,QUARANTINE_ADDL_CONFLICT_Q15B,459af0d7d91c,fc80a095c5ee,q_code,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
8e962148f0fb,F01,QUARANTINE,Q15A,QUARANTINE_BIO_FINAL_FLAG_Q15A,459af0d7d91c,0ff39de5a52e,q_code,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N
0eae6ad8d5eb,F01,QUARANTINE,Q15A,QUARANTINE_BIO_FINAL_FLAG_Q15A,459af0d7d91c,0ff39de5a52e,q_code,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N
433d15b57456,F01,QUARANTINE,Q15A,QUARANTINE_BIO_FINAL_FLAG_Q15A,459af0d7d91c,0ff39de5a52e,q_code,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N
36dae09be0d6,F01,QUARANTINE,Q15A,QUARANTINE_BIO_FINAL_FLAG_Q15A,459af0d7d91c,0ff39de5a52e,q_code,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N
16c22834aaf3,F22,QUARANTINE,Q15A,QUARANTINE_BIO_FINAL_FLAG_Q15A,459af0d7d91c,0ff39de5a52e,q_code,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,N,N,N,N
43a98c9af045,F22,QUARANTINE,Q15A,QUARANTINE_BIO_FINAL_FLAG_Q15A,459af0d7d91c,0ff39de5a52e,q_code,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N
81532230f032,F01,AUTO,,AUTO_F01_MAB,375dc3d886a9,44136fa355b3,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
4954e0503b89,F01,QUARANTINE,Q15B,QUARANTINE_LEGACY_FLAG_UNDOC_Q15B,459af0d7d91c,fc80a095c5ee,q_code,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
088a7c106d5c,F01,REPAIR,,REPAIR_F01_CMTM,625092f45d69,3d9b119a827c,cmt_analyte_policy,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N
c8ced8943f44,F01,QUARANTINE,Q15B,QUARANTINE_LEGACY_FLAG_UNDOC_Q15B,459af0d7d91c,fc80a095c5ee,q_code,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N
75d8ce550add,F22,REPAIR,,REPAIR_F22_DDIVP,9778a409567c,3b6e37a453cb,"cmt_analyte_policy,dual_cmt_policy",Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N
b91e504479c4,F22,QUARANTINE,Q15B,QUARANTINE_LEGACY_FLAG_UNDOC_Q15B,459af0d7d91c,fc80a095c5ee,q_code,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N
017b7186901e,F01,REPAIR,,REPAIR_F01_BLQ,f67c49c740b6,5598114a142c,blq_handling_policy,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
b86ae9470a8d,F01,QUARANTINE,Q15B,QUARANTINE_LEGACY_FLAG_UNDOC_Q15B,459af0d7d91c,fc80a095c5ee,q_code,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
2d286044756d,F01,REPAIR,,REPAIR_F01_BLQ_CMTM,ad950bea7a00,b0d8a8150750,"blq_handling_policy,cmt_analyte_policy",Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N
e9887c9d3694,F01,QUARANTINE,Q15B,QUARANTINE_LEGACY_FLAG_UNDOC_Q15B,459af0d7d91c,fc80a095c5ee,q_code,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N
12f429277850,F22,REPAIR,,REPAIR_F22_BLQ_DDIVP,f452000cd78c,1a93afeda678,"blq_handling_policy,cmt_analyte_policy,dual_cmt_policy",Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N
038c3ac8db23,F22,QUARANTINE,Q15B,QUARANTINE_LEGACY_FLAG_UNDOC_Q15B,459af0d7d91c,fc80a095c5ee,q_code,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N
c260bb9d96e4,F01,QUARANTINE,Q15A,QUARANTINE_BIO_FINAL_FLAG_Q15A,459af0d7d91c,0ff39de5a52e,q_code,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
58ffff75d3be,F01,QUARANTINE,Q15A,QUARANTINE_BIO_FINAL_FLAG_Q15A,459af0d7d91c,0ff39de5a52e,q_code,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N
6377f73407b2,F01,QUARANTINE,Q15A,QUARANTINE_BIO_FINAL_FLAG_Q15A,459af0d7d91c,0ff39de5a52e,q_code,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N
ddb33cb7bb10,F01,QUARANTINE,Q15A,QUARANTINE_BIO_FINAL_FLAG_Q15A,459af0d7d91c,0ff39de5a52e,q_code,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N
54a84aeb535f,F22,QUARANTINE,Q15A,QUARANTINE_BIO_FINAL_FLAG_Q15A,459af0d7d91c,0ff39de5a52e,q_code,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N
4294214479d6,F22,QUARANTINE,Q15A,QUARANTINE_BIO_FINAL_FLAG_Q15A,459af0d7d91c,0ff39de5a52e,q_code,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N
9a478d270948,F01,AUTO,,AUTO_F01_MAB,375dc3d886a9,44136fa355b3,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
5ed735f9cf54,F01,QUARANTINE,Q15B,QUARANTINE_ADDL_CONFLICT_Q15B,459af0d7d91c,fc80a095c5ee,q_code,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
a1c23aedb85a,F01,REPAIR,,REPAIR_F01_CMTM,625092f45d69,3d9b119a827c,cmt_analyte_policy,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N
c30046824d29,F01,QUARANTINE,Q15B,QUARANTINE_ADDL_CONFLICT_Q15B,459af0d7d91c,fc80a095c5ee,q_code,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N
78ac0951d47a,F22,REPAIR,,REPAIR_F22_DDIVP,9778a409567c,3b6e37a453cb,"cmt_analyte_policy,dual_cmt_policy",Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,Y,N,N,N,N,N
9bc1de486cba,F22,QUARANTINE,Q15B,QUARANTINE_ADDL_CONFLICT_Q15B,459af0d7d91c,fc80a095c5ee,q_code,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
